Candidate,Party,Race,JurisdictionName ,County,Votes
Maintained,7379,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Grant,29.574
Repealed,16538,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Grant,67.5572
Maintained,7942,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Grant,32.4428
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Grant,8950
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Grant,17852
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Grant,427
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Grant,135
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Grant,125
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Grant,19
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Grant,17
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Grant,33
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Grant,10621
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Grant,16811
Doc Hastings,(Prefers Republican Party),Congressional District 4 U.S. Representative,Congressional District 4,Grant,19622
Mary Baechler,(Prefers Democratic Party),Congressional District 4 U.S. Representative,Congressional District 4,Grant,7481
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Grant,8654
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Grant,18742
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Grant,9435
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Grant,16860
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Grant,18064
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Grant,7990
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Grant,9594
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Grant,16295
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Grant,17380
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Grant,8377
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Grant,8534
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Grant,17530
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Grant,9241
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Grant,16974
Randy I. Dorn,18658,Washington State Superintendent of Public Instruction,,Grant,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Grant,8977
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Grant,16431
Linda Evans Parlette,(Prefers Gop Party),Legislative District 12 State Senator,Legislative District 12,Grant,2319
Cary Condotta,(Prefers Republican Party),Legislative District 12 State Representative Pos. 1,Legislative District 12,Grant,1624
Stan Morse,(Prefers Republican Party),Legislative District 12 State Representative Pos. 1,Legislative District 12,Grant,934
Mike Armstrong,(Prefers Republican Party),Legislative District 12 State Representative Pos. 2,Legislative District 12,Grant,1227
Brad Hawkins,(Prefers Republican Party),Legislative District 12 State Representative Pos. 2,Legislative District 12,Grant,1384
Judith (Judy) Warnick,(Prefers Republican Party),Legislative District 13 State Representative Pos. 1,Legislative District 13,Grant,18948
Matt Manweller,(Prefers Republican Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Grant,16541
Kaj Selmann,(Prefers Democratic Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Grant,6366
Richard Stevens,(Prefers Republican Party),Grant COUNTY COMMISSIONER #01,Grant,Grant,19632
Carolann Swartz,(Prefers Republican  Party),Grant COUNTY COMMISSIONER #02,Grant,Grant,14323
James Liebrecht,(Prefers Republican Party),Grant COUNTY COMMISSIONER #02,Grant,Grant,8554
Susan Owens,18190,Supreme Court Justice Position 2,,Grant,100
Steve Gonzalez,17966,Supreme Court Justice Position 8,,Grant,100
Sheryl Gordon McCloud,9117,Supreme Court Justice Position 9,,Grant,42.4283
Richard B. Sanders,12371,Supreme Court Justice Position 9,,Grant,57.5717
Evan E Sperline,19504,Grant Superior Court Judge Position 1,,Grant,100
John Knodell,18997,Grant Superior Court Judge Position 2,,Grant,100
John Antosz,18473,Grant Superior Court Judge Position 3,,Grant,100
Yes,527,Coulee Area Park & Recreation District #3 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy,,Grant,57.0346
No,397,Coulee Area Park & Recreation District #3 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy,,Grant,42.9654
Yes Levy,115,Wilson Creek Cemetery Dist #2 Grant County Cemetery District No. 2  Maintenance And Operation Levy,,Grant,73.2484
No Levy,42,Wilson Creek Cemetery Dist #2 Grant County Cemetery District No. 2  Maintenance And Operation Levy,,Grant,26.7516
Terry Brewer,18280,Grant County PUD All Commissioner Distict 1,,Grant,100
Tom Flint,18261,Grant County PUD All Commissioner Distict A,,Grant,100
Yes,19578,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Grays Harbor,70.9605
No,8012,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Grays Harbor,29.0395
Yes,13985,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Grays Harbor,49.4922
No,14272,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Grays Harbor,50.5078
Approved,13214,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Grays Harbor,46.1608
Rejected,15412,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Grays Harbor,53.8392
Yes,15510,Statewide Initiative Measure No. 502 Concerns marijuana,,Grays Harbor,53.9685
No,13229,Statewide Initiative Measure No. 502 Concerns marijuana,,Grays Harbor,46.0315
Approved,15869,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Grays Harbor,61.1899
Rejected,10065,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Grays Harbor,38.8101
Approved,8876,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Grays Harbor,33.2808
Rejected,17794,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Grays Harbor,66.7192
Repealed,17092,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Grays Harbor,67.1143
Maintained,8375,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Grays Harbor,32.8857
Repealed,15758,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Grays Harbor,64.6456
Maintained,8618,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Grays Harbor,35.3544
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Grays Harbor,15960
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Grays Harbor,11914
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Grays Harbor,425
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Grays Harbor,150
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Grays Harbor,159
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Grays Harbor,12
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Grays Harbor,17
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Grays Harbor,47
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Grays Harbor,17491
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Grays Harbor,10971
Derek Kilmer,(Prefers Democratic Party),Congressional District 6 U.S. Representative,Congressional District 6,Grays Harbor,15256
Bill Driscoll,(Prefers Republican Party),Congressional District 6 U.S. Representative,Congressional District 6,Grays Harbor,12416
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Grays Harbor,14491
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Grays Harbor,13978
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Grays Harbor,17116
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Grays Harbor,10585
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Grays Harbor,13665
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Grays Harbor,13615
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Grays Harbor,16054
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Grays Harbor,10888
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Grays Harbor,12245
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Grays Harbor,14381
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Grays Harbor,15116
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Grays Harbor,12203
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Grays Harbor,15024
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Grays Harbor,11745
Randy I. Dorn,20286,Washington State Superintendent of Public Instruction,,Grays Harbor,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Grays Harbor,15628
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Grays Harbor,10913
Brian Hatfield,(Prefers Democratic Party),Legislative District 19 State Senator,Legislative District 19,Grays Harbor,8639
Rick Winsman,(Prefers Republican Party),Legislative District 19 State Senator,Legislative District 19,Grays Harbor,4398
Dean Takko,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Grays Harbor,8076
Dixie Kolditz,(Prefers Republican Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Grays Harbor,4663
Brian E. Blake,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Grays Harbor,8170
Tim Sutinen,(Prefers Independent Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Grays Harbor,4535
Jim Hargrove,(Prefers Democratic Party),Legislative District 24 State Senator,Legislative District 24,Grays Harbor,9445
Larry Carter,(Prefers Independent Party),Legislative District 24 State Senator,Legislative District 24,Grays Harbor,4699
Kevin Van De Wege,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 1,Legislative District 24,Grays Harbor,8480
Craig Durgan,(States No Party Preference),Legislative District 24 State Representative Pos. 1,Legislative District 24,Grays Harbor,5119
Steve Tharinger,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Grays Harbor,7898
Steve Gale,(Prefers Republican Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Grays Harbor,5928
Wes Cormier,(Prefers Republican Party),Grays Harbor - ALL Commissioner #1,Grays Harbor - ALL,Grays Harbor,13953
Terry Willis,(Prefers  Democratic  Party),Grays Harbor - ALL Commissioner #1,Grays Harbor - ALL,Grays Harbor,13021
Frank Gordon,(Prefers Dem Party),Grays Harbor - ALL Commissioner #2,Grays Harbor - ALL,Grays Harbor,15366
Allan Shores,(Prefers Republican Party),Grays Harbor - ALL Commissioner #2,Grays Harbor - ALL,Grays Harbor,11371
Susan Owens,19521,Supreme Court Justice Position 2,,Grays Harbor,100
Steve Gonzalez,19238,Supreme Court Justice Position 8,,Grays Harbor,100
Sheryl Gordon McCloud,12687,Supreme Court Justice Position 9,,Grays Harbor,55.8505
Richard B. Sanders,10029,Supreme Court Justice Position 9,,Grays Harbor,44.1495
 Division 2, District 2 Judge Position 2,Court of Appeals,53.2312,Grays Harbor,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,46.7688,Grays Harbor,Thomas Bjorgen
Gordon L. Godfrey,19981,Grays Harbor Superior Court Judge Position 1,,Grays Harbor,100
Dave Edwards,20112,Grays Harbor Superior Court Judge Position 2,,Grays Harbor,100
Mark McCauley,20218,Grays Harbor Superior Court Judge Position 3,,Grays Harbor,100
Arie Callaghan,12718,PUD District - ALL PUD Comm (1),,Grays Harbor,56.9497
Chris Thomas,9614,PUD District - ALL PUD Comm (1),,Grays Harbor,43.0503
Levy Yes,590,Westport Council City of Westport Levy emergency medical care and ambulance services,,Grays Harbor,71.6019
Levy No,234,Westport Council City of Westport Levy emergency medical care and ambulance services,,Grays Harbor,28.3981
Approved,889,Sch Dist 65 - McCleary McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts,,Grays Harbor,77.9141
Rejected,252,Sch Dist 65 - McCleary McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts,,Grays Harbor,22.0859
Approved,984,Fire District 5 Proposition 1 a proposition to ensure continued delivery of fire protection and emergency medical services,,Grays Harbor,45.9169
Rejected,1159,Fire District 5 Proposition 1 a proposition to ensure continued delivery of fire protection and emergency medical services,,Grays Harbor,54.0831
Yes,373,Fire District 12 Grays Harbor County Fire District #12 Proposition 1 levy for the provision of Emergency Medical Services,,Grays Harbor,55.7549
No,296,Fire District 12 Grays Harbor County Fire District #12 Proposition 1 levy for the provision of Emergency Medical Services,,Grays Harbor,44.2451
Yes,163,Fire District 15 Grays Harbor County Fire District #15 - Proposition 1 levy for the provision of Emergency Medical Services,,Grays Harbor,77.2512
No,48,Fire District 15 Grays Harbor County Fire District #15 - Proposition 1 levy for the provision of Emergency Medical Services,,Grays Harbor,22.7488
Approved,141,Fire District 15 Grays Harbor County Fire District #15 - Proposition 2 Proposition to restore the district's regular property tax levy,,Grays Harbor,67.1429
Rejected,69,Fire District 15 Grays Harbor County Fire District #15 - Proposition 2 Proposition to restore the district's regular property tax levy,,Grays Harbor,32.8571
Yes,27277,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Island,67.4339
No,13173,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Island,32.5661
Yes,22096,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Island,53.9796
No,18838,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Island,46.0204
Approved,21687,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Island,52.244
Rejected,19824,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Island,47.756
Yes,23205,Statewide Initiative Measure No. 502 Concerns marijuana,,Island,55.5835
No,18543,Statewide Initiative Measure No. 502 Concerns marijuana,,Island,44.4165
Approved,24447,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Island,65.389
Rejected,12940,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Island,34.611
Approved,15901,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Island,41.311
Rejected,22590,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Island,58.689
Repealed,21337,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Island,58.1675
Maintained,15345,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Island,41.8325
Repealed,20034,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Island,56.1302
Maintained,15658,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Island,43.8698
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Island,21478
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Island,19605
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Island,531
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Island,116
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Island,265
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Island,22
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Island,11
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Island,71
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Island,23024
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Island,18475
Rick Larsen,(Prefers Democratic Party),Congressional District 2 U.S. Representative,Congressional District 2,Island,22353
Dan Matthews,(Prefers Republican Party),Congressional District 2 U.S. Representative,Congressional District 2,Island,18691
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Island,19324
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Island,22082
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Island,20046
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Island,19797
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Island,21376
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Island,18020
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Island,20902
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Island,18173
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Island,19967
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Island,18708
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Island,19587
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Island,19992
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Island,21006
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Island,18110
Randy I. Dorn,28636,Washington State Superintendent of Public Instruction,,Island,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Island,20744
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Island,17807
Barbara Bailey,(Prefers Republican Party),Legislative District 10 State Senator,Legislative District 10,Island,21013
Mary Margaret Haugen,(Prefers Democratic Party),Legislative District 10 State Senator,Legislative District 10,Island,19639
Norma Smith,(Prefers Republican Party),Legislative District 10 State Representative Pos. 1,Legislative District 10,Island,24120
Aaron Simpson,(Prefers Democratic Party),Legislative District 10 State Representative Pos. 1,Legislative District 10,Island,15542
Dave Hayes,(Prefers Republican Party),Legislative District 10 State Representative Pos. 2,Legislative District 10,Island,19840
Tom Riggs,(Prefers Democratic Party),Legislative District 10 State Representative Pos. 2,Legislative District 10,Island,19329
 District 1,Helen Price-Johnson,COUNTY WIDE County Commissioner,52.252,Island,(Prefers Democratic Party)
 District 1,Jeff Lauderdale,COUNTY WIDE County Commissioner,47.748,Island,(Prefers Republican Party)
 District 2,Jill Johnson,COUNTY WIDE County Commissioner,51.0728,Island,(Prefers Republican Party)
 District 2,Angie Homola,COUNTY WIDE County Commissioner,48.9272,Island,(Prefers Democratic Party)
Susan Owens,27334,Supreme Court Justice Position 2,,Island,100
Steve Gonzalez,27052,Supreme Court Justice Position 8,,Island,100
Sheryl Gordon McCloud,16589,Supreme Court Justice Position 9,,Island,52.4156
Richard B. Sanders,15060,Supreme Court Justice Position 9,,Island,47.5844
 Division 1, District 3 Judge Position 1,Court of Appeals,100,Island,Mary Kay Becker
Alan R. Hancock,28852,Island Superior Court Judge Position 1,,Island,100
Vickie I. Churchill,28402,Island Superior Court Judge Position 2,,Island,100
Kathleen (Kathy) Vaughn,4067,PUD NO 1 COMMISSIONER DISTRICT 2,,Island,58.7887
Eric Teegarden,2851,PUD NO 1 COMMISSIONER DISTRICT 2,,Island,41.2113
Yes,5846,FIRE DISTRICT NO 3 South Whidbey Fire/EMS Levy Lift Proposition EMS Levy Lift Proposition,,Island,58.7479
No,4105,FIRE DISTRICT NO 3 South Whidbey Fire/EMS Levy Lift Proposition EMS Levy Lift Proposition,,Island,41.2521
Yes,10203,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Jefferson,54.1101
No,8653,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Jefferson,45.8899
Yes,9047,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Jefferson,47.1321
No,10148,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Jefferson,52.8679
Approved,12458,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Jefferson,63.7401
Rejected,7087,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Jefferson,36.2599
Yes,12774,Statewide Initiative Measure No. 502 Concerns marijuana,,Jefferson,65.2334
No,6808,Statewide Initiative Measure No. 502 Concerns marijuana,,Jefferson,34.7666
Approved,10762,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Jefferson,61.7796
Rejected,6658,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Jefferson,38.2204
Approved,7601,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Jefferson,42.7864
Rejected,10164,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Jefferson,57.2136
Repealed,8514,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Jefferson,50.3519
Maintained,8395,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Jefferson,49.6481
Repealed,8166,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Jefferson,48.7115
Maintained,8598,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Jefferson,51.2885
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Jefferson,12739
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Jefferson,6405
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Jefferson,248
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Jefferson,54
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Jefferson,301
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Jefferson,8
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Jefferson,7
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Jefferson,67
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Jefferson,13471
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Jefferson,6114
Derek Kilmer,(Prefers Democratic Party),Congressional District 6 U.S. Representative,Congressional District 6,Jefferson,12608
Bill Driscoll,(Prefers Republican Party),Congressional District 6 U.S. Representative,Congressional District 6,Jefferson,6399
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Jefferson,12176
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Jefferson,7370
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Jefferson,11970
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Jefferson,7036
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Jefferson,7507
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Jefferson,11175
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Jefferson,12607
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Jefferson,6030
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Jefferson,7013
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Jefferson,11263
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Jefferson,11968
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Jefferson,6722
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Jefferson,12455
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Jefferson,6020
Randy I. Dorn,12830,Washington State Superintendent of Public Instruction,,Jefferson,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Jefferson,12349
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Jefferson,5945
Jim Hargrove,(Prefers Democratic Party),Legislative District 24 State Senator,Legislative District 24,Jefferson,13028
Larry Carter,(Prefers Independent Party),Legislative District 24 State Senator,Legislative District 24,Jefferson,5484
Kevin Van De Wege,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 1,Legislative District 24,Jefferson,13095
Craig Durgan,(States No Party Preference),Legislative District 24 State Representative Pos. 1,Legislative District 24,Jefferson,5241
Steve Tharinger,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Jefferson,12424
Steve Gale,(Prefers Republican Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Jefferson,6084
Phil Johnson,(Prefers Democratic Party),County of Jefferson Commissioner 1,County of Jefferson,Jefferson,11194
Geoff Masci,(Prefers Republican Party),County of Jefferson Commissioner 1,County of Jefferson,Jefferson,7453
David W Sullivan,(Prefers Democratic Party),County of Jefferson Commissioner 2,County of Jefferson,Jefferson,10804
Tim N Thomas,(Prefers Republican Party),County of Jefferson Commissioner 2,County of Jefferson,Jefferson,7738
Susan Owens,12703,Supreme Court Justice Position 2,,Jefferson,100
Steve Gonzalez,12362,Supreme Court Justice Position 8,,Jefferson,100
Sheryl Gordon McCloud,10168,Supreme Court Justice Position 9,,Jefferson,64.5997
Richard B. Sanders,5572,Supreme Court Justice Position 9,,Jefferson,35.4003
 Division 2, District 2 Judge Position 2,Court of Appeals,52.7798,Jefferson,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,47.2202,Jefferson,Thomas Bjorgen
Keith C Harper,10719,Jefferson Superior Court Judge Position 1,,Jefferson,60.724
Peggy Ann Bierbaum,6933,Jefferson Superior Court Judge Position 1,,Jefferson,39.276
Wayne King,12062,Public Utility District Public Utility District No. 1 #3,,Jefferson,100
Approved,493,Brinnon Parks & Recreation District Creating Parks & Recreation District No. 2 - Proposition No. 1 Creating Parks & Recreation District No. 2,,Jefferson,61.625
Rejected,307,Brinnon Parks & Recreation District Creating Parks & Recreation District No. 2 - Proposition No. 1 Creating Parks & Recreation District No. 2,,Jefferson,38.375
 Pos. 1 (term to be determined),Bud Schindler,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,341
 Pos. 1 (term to be determined),Kimberlee Scribellito-Talbott,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,313
 Pos. 2 (term to be determined),Jacque J Booth,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,395
